                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4987,                 3.6023,                 1.2673,                0.00362,                0.88372,                0.66381,                 0.3642,                0.82041,                 3.0749,                0.88391,                0.00028,                0.00028,                0.00028
                      2,                 1.2481,                 2.0321,                 1.0406,                0.00362,                0.88372,                0.39199,                0.21639,                0.92611,                 3.2628,                0.98126,             0.00057809,             0.00057809,             0.00057809
                      3,                 1.2862,                  1.805,                 1.0498,                      1,                0.14492,                0.48924,                0.35049,                 1.0301,                 3.1532,                0.96393,             0.00087419,             0.00087419,             0.00087419
                      4,                 1.3506,                 1.8173,                 1.0696,                0.98095,                0.25581,                0.50873,                0.34713,                 1.0607,                 2.8241,                 1.0645,              0.0011683,              0.0011683,              0.0011683
                      5,                 1.3038,                  1.625,                 1.0893,                0.48964,                0.37209,                0.33547,                0.19389,                 1.2121,                 2.5307,                 1.0884,              0.0014605,              0.0014605,              0.0014605
                      6,                 1.3073,                 1.6247,                 1.0985,                0.65223,                0.27907,                0.37308,                 0.2586,                 1.1469,                 2.2681,                 1.0711,              0.0017506,              0.0017506,              0.0017506
                      7,                  1.401,                 1.5695,                 1.1076,                 0.9117,                0.44186,                0.56687,                  0.387,                 1.1427,                 1.8911,                 1.0497,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.2145,                 1.5114,                 1.0528,                0.57079,                0.32558,                0.32313,                 0.2093,                  1.191,                 3.6757,                 1.0905,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.3275,                 1.3867,                 1.0834,                0.35287,                0.16279,                0.15709,                0.08473,                 1.1667,                 3.5232,                 1.0615,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.2797,                 1.2743,                  1.071,                0.16068,                0.25581,                0.11369,                0.08168,                 1.1609,                 3.9481,                 1.0264,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.2474,                 1.2106,                 1.0727,                0.80031,                0.65116,                0.71674,                0.41315,                 1.5167,                 1.7328,                 1.2585,               0.001934,               0.001934,               0.001934
                     12,                 1.2973,                 1.2318,                 1.0966,                0.88714,                0.55814,                0.67731,                0.45705,                 1.1249,                 1.4855,                 1.0847,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.2152,                 1.0889,                 1.0753,                0.65108,                0.56425,                0.59885,                0.39512,                 1.2957,                  1.883,                 1.1255,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.2267,                 1.1003,                 1.0556,                0.29091,                0.55814,                 0.2762,                0.18403,                 1.1203,                 3.4919,                 1.0289,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.2855,                 1.1274,                 1.0755,                0.82209,                0.62791,                0.71158,                0.48798,                 1.1435,                 1.5834,                 1.0772,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.2443,                 1.0689,                 1.0493,                0.85067,                 0.7907,                 0.8401,                0.56968,                0.97011,                 1.0769,                 1.0045,               0.001901,               0.001901,               0.001901
                     17,                 1.1776,                  0.994,                 1.0375,                      1,                0.76575,                0.85561,                0.53584,                 1.2957,                 1.2022,                 1.1118,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.2301,                0.93007,                 1.0693,                0.91526,                0.83721,                0.88898,                0.59095,                  1.345,                0.93972,                 1.1882,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.1225,                0.91934,                  1.009,                0.88817,                 0.7389,                0.82157,                0.52451,                0.95667,                 1.0026,                0.95421,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.2421,                0.97703,                 1.0494,                0.88866,                 0.7907,                0.81971,                0.49272,                 1.3408,                0.87378,                 1.1573,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.1784,                0.92186,                 1.0381,                0.89305,                0.90698,                0.92528,                0.62672,                0.88688,                0.77497,                0.95842,               0.001868,               0.001868,               0.001868
                     22,                 1.1934,                 0.8925,                 1.0327,                0.92408,                0.76744,                0.86931,                0.59295,                0.98702,                0.86573,                0.98185,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.1091,                0.85974,                 1.0082,                 0.9058,                0.83721,                0.88079,                0.60618,                0.85436,                0.81283,                0.93683,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.1094,                0.83089,                 1.0093,                 0.8797,                0.85047,                0.90967,                0.64706,                 1.0658,                0.80601,                0.98673,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.0932,                  0.855,                 1.0003,                      1,                0.71115,                0.86623,                0.57111,                 1.0897,                 0.9416,                 1.0205,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.0703,                0.80439,                0.99489,                0.91953,                0.79731,                0.86274,                0.58654,                0.93202,                0.76594,                 1.0051,               0.001835,               0.001835,               0.001835
                     27,                 1.1134,                0.84695,                 1.0148,                0.94656,                0.81395,                0.86229,                0.54842,                 1.0516,                 1.0175,                 1.0429,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.1415,                0.79367,                0.98413,                 0.8951,                0.79379,                0.88978,                0.56289,                0.92024,                0.74876,                 0.9524,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.1202,                0.79624,                 1.0006,                0.96963,                0.83721,                0.93664,                0.61699,                   1.24,                 0.7642,                  1.014,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.0228,                0.74278,                0.97219,                0.92634,                0.87746,                0.93191,                0.62271,                0.92609,                0.67711,                0.93831,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.0636,                0.78316,                0.96947,                0.92074,                0.83721,                0.93796,                0.66045,                  1.055,                0.69283,                0.98311,               0.001802,               0.001802,               0.001802
                     32,                 1.0934,                0.74064,                0.98668,                0.94846,                0.85598,                0.91775,                0.63772,                0.89643,                0.73862,                0.92604,              0.0017954,              0.0017954,              0.0017954
                     33,                  1.089,                0.77572,                0.99715,                0.94286,                0.81395,                0.91948,                0.61765,                0.96488,                0.70183,                0.93941,              0.0017888,              0.0017888,              0.0017888
                     34,                   1.05,                0.75742,                0.97577,                 0.9457,                0.81009,                  0.869,                0.61642,                 1.0111,                0.84526,                0.96613,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.0277,                0.72869,                0.96922,                0.89513,                0.76744,                0.89318,                0.60505,                0.92444,                0.74129,                0.92875,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.0121,                 0.7278,                0.96794,                0.92286,                0.83476,                0.93962,                0.60751,                 1.1527,                0.69071,                0.96904,               0.001769,               0.001769,               0.001769
                     37,                 1.0445,                0.74012,                0.97766,                0.85685,                0.83522,                0.91252,                0.62897,                0.87709,                0.65005,                0.92417,              0.0017624,              0.0017624,              0.0017624
                     38,                  1.103,                0.75934,                0.97913,                0.85306,                0.83721,                0.88844,                0.59931,                 1.2403,                0.78561,                 1.0066,              0.0017558,              0.0017558,              0.0017558
